+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS12000093 | 2018 |  M12   | 32263 |           |
| LNS12000093 | 2018 |  M11   | 32376 |           |
| LNS12000093 | 2018 |  M10   | 32343 |           |
| LNS12000093 | 2018 |  M09   | 32320 |           |
| LNS12000093 | 2018 |  M08   | 32322 |           |
| LNS12000093 | 2018 |  M07   | 32285 |           |
| LNS12000093 | 2018 |  M06   | 32347 |           |
| LNS12000093 | 2018 |  M05   | 32377 |           |
| LNS12000093 | 2018 |  M04   | 32260 |           |
| LNS12000093 | 2018 |  M03   | 32454 |           |
| LNS12000093 | 2018 |  M02   | 32603 |           |
| LNS12000093 | 2018 |  M01   | 32514 |           |
| LNS12000093 | 2017 |  M12   | 32616 |           |
| LNS12000093 | 2017 |  M11   | 32538 |           |
| LNS12000093 | 2017 |  M10   | 32464 |           |
| LNS12000093 | 2017 |  M09   | 32539 |           |
| LNS12000093 | 2017 |  M08   | 32449 |           |
| LNS12000093 | 2017 |  M07   | 32532 |           |
| LNS12000093 | 2017 |  M06   | 32422 |           |
| LNS12000093 | 2017 |  M05   | 32525 |           |
| LNS12000093 | 2017 |  M04   | 32500 |           |
| LNS12000093 | 2017 |  M03   | 32491 |           |
| LNS12000093 | 2017 |  M02   | 32462 |           |
| LNS12000093 | 2017 |  M01   | 32482 |           |
| LNS12000093 | 2016 |  M12   | 32645 |           |
| LNS12000093 | 2016 |  M11   | 32699 |           |
| LNS12000093 | 2016 |  M10   | 32942 |           |
| LNS12000093 | 2016 |  M09   | 32629 |           |
| LNS12000093 | 2016 |  M08   | 32584 |           |
| LNS12000093 | 2016 |  M07   | 32615 |           |
| LNS12000093 | 2016 |  M06   | 32694 |           |
| LNS12000093 | 2016 |  M05   | 32669 |           |
| LNS12000093 | 2016 |  M04   | 32799 |           |
| LNS12000093 | 2016 |  M03   | 32831 |           |
| LNS12000093 | 2016 |  M02   | 32767 |           |
| LNS12000093 | 2016 |  M01   | 32761 |           |
