+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNU02000095 | 2018 |  M12   | 26910 |           |
| LNU02000095 | 2018 |  M11   | 26855 |           |
| LNU02000095 | 2018 |  M10   | 26828 |           |
| LNU02000095 | 2018 |  M09   | 26709 |           |
| LNU02000095 | 2018 |  M08   | 26578 |           |
| LNU02000095 | 2018 |  M07   | 26453 |           |
| LNU02000095 | 2018 |  M06   | 26470 |           |
| LNU02000095 | 2018 |  M05   | 26770 |           |
| LNU02000095 | 2018 |  M04   | 26573 |           |
| LNU02000095 | 2018 |  M03   | 26237 |           |
| LNU02000095 | 2018 |  M02   | 26372 |           |
| LNU02000095 | 2018 |  M01   | 26025 |           |
| LNU02000095 | 2017 |  M12   | 26192 |           |
| LNU02000095 | 2017 |  M11   | 26355 |           |
| LNU02000095 | 2017 |  M10   | 26346 |           |
| LNU02000095 | 2017 |  M09   | 26227 |           |
| LNU02000095 | 2017 |  M08   | 26044 |           |
| LNU02000095 | 2017 |  M07   | 25960 |           |
| LNU02000095 | 2017 |  M06   | 26044 |           |
| LNU02000095 | 2017 |  M05   | 26118 |           |
| LNU02000095 | 2017 |  M04   | 26062 |           |
| LNU02000095 | 2017 |  M03   | 26040 |           |
| LNU02000095 | 2017 |  M02   | 25762 |           |
| LNU02000095 | 2017 |  M01   | 25622 |           |
| LNU02000095 | 2016 |  M12   | 25731 |           |
| LNU02000095 | 2016 |  M11   | 25823 |           |
| LNU02000095 | 2016 |  M10   | 25788 |           |
| LNU02000095 | 2016 |  M09   | 25648 |           |
| LNU02000095 | 2016 |  M08   | 25286 |           |
| LNU02000095 | 2016 |  M07   | 25413 |           |
| LNU02000095 | 2016 |  M06   | 25366 |           |
| LNU02000095 | 2016 |  M05   | 25524 |           |
| LNU02000095 | 2016 |  M04   | 25599 |           |
| LNU02000095 | 2016 |  M03   | 25368 |           |
| LNU02000095 | 2016 |  M02   | 25453 |           |
| LNU02000095 | 2016 |  M01   | 25289 |           |
| LNU02000095 | 2015 |  M12   | 25462 |           |
| LNU02000095 | 2015 |  M11   | 25371 |           |
| LNU02000095 | 2015 |  M10   | 25213 |           |
| LNU02000095 | 2015 |  M09   | 24993 |           |
| LNU02000095 | 2015 |  M08   | 24735 |           |
| LNU02000095 | 2015 |  M07   | 24899 |           |
| LNU02000095 | 2015 |  M06   | 24840 |           |
| LNU02000095 | 2015 |  M05   | 25156 |           |
| LNU02000095 | 2015 |  M04   | 25134 |           |
| LNU02000095 | 2015 |  M03   | 24782 |           |
| LNU02000095 | 2015 |  M02   | 24549 |           |
| LNU02000095 | 2015 |  M01   | 24571 |           |
