year,period,periodName,0,1,2,3,4,5
2009,M01,January,18287,30438,32274,33942,20918,6130
2009,M02,February,18300,30295,32052,33867,21003,5966
2009,M03,March,18067,30170,31726,33773,20945,6055
2009,M04,April,18092,30082,31734,33801,21052,6034
2009,M05,May,17817,29924,31639,33683,21182,6132
2009,M06,June,17699,30022,31700,33521,21007,5937
2009,M07,July,17657,30049,31581,33561,20902,5976
2009,M08,August,17473,29939,31460,33524,20788,6120
2009,M09,September,17216,29788,31264,33297,21089,6216
2009,M10,October,16873,29826,30952,33509,21134,6283
2009,M11,November,16895,29830,31048,33588,21087,6322
2009,M12,December,16893,29836,30791,33290,21114,6193
2010,M01,January,16924,30046,30688,33319,21103,6192
2010,M02,February,17039,30100,30569,33330,21279,6165
2010,M03,March,17039,30075,30692,33259,21584,6192
2010,M04,April,17063,30192,30827,33353,21799,6196
2010,M05,May,17238,30143,30813,33150,21816,6288
2010,M06,June,16980,30217,30777,33243,21650,6175
2010,M07,July,17052,30349,30620,33098,21648,6141
2010,M08,August,17332,30360,30635,33058,21571,6260
2010,M09,September,17087,30344,30569,33166,21856,6449
2010,M10,October,17041,30362,30696,33033,21671,6420
2010,M11,November,17131,30237,30567,33053,21756,6366
2010,M12,December,17033,30351,30513,33227,21901,6376
2011,M01,January,17297,30416,30305,32943,21686,6420
2011,M02,February,17261,30341,30351,32955,21880,6557
2011,M03,March,17349,30504,30516,32819,22059,6562
2011,M04,April,17257,30288,30396,32907,22242,6687
2011,M05,May,17211,30537,30283,32939,22226,6669
2011,M06,June,17208,30457,30227,32843,21988,6521
2011,M07,July,17140,30410,30295,32880,21886,6532
2011,M08,August,17398,30757,30052,32843,22161,6500
2011,M09,September,17463,30627,30089,32752,22610,6735
2011,M10,October,17693,30608,30120,32761,22487,6859
2011,M11,November,17562,30793,30285,32840,22515,6830
2011,M12,December,17546,30765,30356,32940,22485,6893
2012,M01,January,17736,30298,30574,33051,22793,6936
2012,M02,February,17760,30370,30616,32944,23035,7153
2012,M03,March,17750,30532,30620,32992,23072,7224
2012,M04,April,17715,30714,30549,32838,23069,7231
2012,M05,May,17834,30626,30534,32959,23227,7300
2012,M06,June,17874,30652,30495,32925,23167,7122
2012,M07,July,17898,30623,30530,32880,22843,7053
2012,M08,August,17556,30664,30588,32854,23138,7212
2012,M09,September,17929,30830,30645,32909,23428,7404
2012,M10,October,17987,31002,30729,32843,23702,7406
2012,M11,November,18030,31026,30516,32665,23662,7488
2012,M12,December,17887,31139,30548,32675,23739,7412
2013,M01,January,17977,31036,30426,32540,23588,7424
2013,M02,February,17879,30995,30527,32694,23666,7568
2013,M03,March,17715,31093,30604,32540,23807,7576
2013,M04,April,17934,31141,30646,32550,23808,7732
2013,M05,May,17843,31260,30718,32564,23867,7898
2013,M06,June,18085,31196,30587,32692,23653,7673
2013,M07,July,18134,31248,30746,32591,23639,7542
2013,M08,August,17990,31219,30779,32521,23732,7762
2013,M09,September,18323,31339,30754,32496,23832,7779
